  -0.83037,  -0.08946,  -0.61260,  -0.13846,  -0.72910,   0.59261,  -0.70017,  -0.31923,   0.93027,   0.59665
  -0.02013,   0.87622,  -0.93750,   0.42347,   0.30452,   0.29604,   0.54776,   0.93750,   0.93750,  -0.78347
   0.93750,   0.93750,  -0.14452,   0.36993,  -0.93750,  -0.10494,   0.93750,  -0.01423,   0.93750,   0.93750
  -0.69560,  -0.20903,  -0.11022,   0.28993,  -0.69019,  -0.22650,   0.09580,  -0.26573,  -0.05544,  -0.88388
   0.74435,   0.76363,  -0.38341,   0.26075,   0.24337,   0.19730,   0.35914,  -0.20234,   0.51425,  -0.62610
  -0.14870,  -0.16656,   0.44806,   0.22986,   0.69470,   0.74472,  -0.51346,  -0.43588,  -0.16578,   0.81333
   0.19650,   0.42943,  -0.92315,   0.21226,   0.14367,  -0.84022,  -0.23822,   0.86427,   0.32386,  -0.75620
   0.02396,  -0.45779,  -0.84821,   0.93110,  -0.47695,   0.93750,  -0.42394,  -0.19735,  -0.50998,   0.50963
  -0.38060,  -0.55761,   0.87939,  -0.87370,   0.87297,  -0.83744,  -0.45356,  -0.87678,  -0.93750,   0.65654
  -0.40329,   0.93750,  -0.78416,   0.60786,   0.93750,  -0.88772,  -0.39214,  -0.93750,  -0.93750,  -0.80859
  -0.62984,  -0.61355,   0.81830,   0.93750,  -0.63405,   0.93750,  -0.73545,  -0.44987,  -0.08397,  -0.40470
   0.30651,   0.61762,  -0.63096,   0.61330,   0.56021,  -0.56391,  -0.80848,   0.30338,  -0.70167,   0.28437
  -0.71243,  -0.06691,  -0.80598,  -0.30029,   0.84421,  -0.20520,   0.29005,   0.75995,   0.39413,   0.19713
  -0.59902,   0.86928,   0.52050,   0.39378,  -0.06608,   0.44293,  -0.28876,   0.88015,   0.79576,  -0.76431
   0.75016,   0.93750,   0.80361,   0.13484,   0.81648,   0.39454,  -0.93381,  -0.90441,   0.69516,   0.93750
   0.19341,   0.16323,  -0.90452,  -0.88155,   0.73852,   0.93750,   0.93750,   0.87523,  -0.87167,  -0.19746
  -0.87668,  -0.19615,  -0.86901,   0.93750,  -0.93750,   0.87820,   0.69185,  -0.93750,   0.43548,  -0.30859
  -0.38974,   0.93750,  -0.54941,  -0.53754,  -0.93750,   0.35502,  -0.80201,  -0.68963,   0.23177,  -0.57426
   0.22001,   0.93750,   0.20531,   0.88262,   0.00020,  -0.93750,  -0.38693,  -0.20410,  -0.18368,   0.81827
   0.46137,   0.11825,   0.24909,  -0.08796,  -0.02804,  -0.07164,  -0.23992,   0.50672,  -0.77802,   0.05611
  -0.31773,  -0.87987,   0.79320,  -0.93750,   0.93750,  -0.10866,   0.18347,  -0.79240,   0.67716,   0.87755
